mnemonic,number,id
EDIS,9998,950
FRTR,2552,11573
EDIS,9999,951
EDLF,3450,954
EDLF,5000,957
EDLF,8998,1014
EDIS,7852,935
PPOL,5325,11989
EDIS,8981,941
JAPN,5710,10407
SOC,5057,9370
EDLF,5710,965
AAS,3645,13227
EDLF,5640,964
RELG,5835,10845
EDLF,5050,960
LAW,9301,13609
PPOL,6765,9334
PLAN,5240,9777
EDLF,5450,961
LING,7750,14496
EDLF,9000,1015
EDLF,7190,972
EDLF,7010,968
SOC,8710,9371
EDLF,7000,967
CHE,318,3405
CHE,322,3406
EDLF,7220,974
HIUS,4150,6812
ARAH,742,3002
JAPN,5870,10408
RELH,3140,10846
RELJ,2590,10847
EDLF,7310,979
EDLF,7260,976
JAPN,5880,10090
PLAP,7500,9779
RELJ,3350,10849
EDLF,7701,989
AMST,1559,12315
DRAM,2010,638
CS,8897,624
JWST,4999,9652
EDLF,7602,985
LAW,9302,13610
CS,8999,625
ARAH,751,3003
ARAH,752,3004
ARAH,756,3005
ARAH,761,3006
ARAH,772,3007
ARAH,775,3008
LAW,9304,13611
EDLF,7604,986
JPTR,3010,9241
RELJ,3170,10848
AAS,3853,13228
EDLF,7330,980
ITTR,3759,8128
PLAP,8220,9780
EDLF,8655,1004
RELJ,3590,10850
PPOL,6785,11990
RELJ,5065,10851
EDLF,8200,996
EDLF,8300,997
EDLF,8680,1006
HIME,9028,13336
LPPL,3480,14497
PLAP,8583,9781
JPTR,3100,10091
CHEM,1811,6570
EDLF,8430,1001
CHEM,5740,9984
EDLF,8980,1008
EDLF,8981,1009
ENGN,384,4036
ENGN,482,4037
ENGR,142,4038
SPAN,4450,9373
JPTR,3800,10092
EVGE,7999,1166
ECE,4140,10324
EDLF,9995,1017
ENAM,4500,1025
ENAM,3559,1024
ENAM,3300,1022
ENGL,4993,1043
ENAM,8559,1027
ENEC,3120,1036
LPPL,4225,14129
ENEC,3200,1037
ENAM,9910,1029
ENCR,3559,1030
ENEC,5559,1039
LNGS,7993,13612
ENEC,3600,1038
ENAM,4814,1026
RELJ,5105,10852
ENCR,8559,1034
ENGL,4998,1044
EDLF,8311,13768
ENWR,1505,1117
ARAH,781,3009
ARAH,804,3010
ARAH,805,3011
ARAH,810,3012
ARAH,858,3013
ENGL,9999,1051
PLCP,3120,9782
SPAN,4620,9375
ENGN,3559,1052
ENWR,2600,1124
HIUS,318,4579
CLAS,7031,13740
ENGR,1410,1053
ENGR,2510,1057
SPAN,8510,9378
ENGR,2595,1060
ENGR,2520,1058
LPPL,7055,14132
JWST,3559,10093
ENWR,1559,1120
ENWR,2160,1122
ENWR,2300,1123
ENWR,1506,1118
ENGR,3580,1061
ENWR,2150,1121
ENGR,2555,1059
ENWR,3310,1126
RUTR,3400,10854
SPAN,7850,9377
ARAH,894,3014
ARAH,895,3015
ARAH,897,3016
ARAH,898,3017
ARAH,928,3018
