Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2022 Spring,LAW,8637,Entrepreneurial Law Clinic,041800,"Keshap,Rahul",1ZT,17434,LAW,3.436363636,11,0,1,2,8,0,0,0,0,0,0
2022 Spring,LAW,8637,Entrepreneurial Law Clinic,041800,"Lewis,Clare Howard",1ZT,17434,LAW,3.436363636,11,0,1,2,8,0,0,0,0,0,0
2022 Spring,LAW,8637,Entrepreneurial Law Clinic,041800,"Rosen,Pamela K.",1ZT,17434,LAW,3.436363636,11,0,1,2,8,0,0,0,0,0,0
2022 Spring,LAW,8635,First Amendment Clinic (YR),041615,"Kalish,Ian C.",1,17519,LAW,3.55,8,0,0,5,3,0,0,0,0,0,0
2022 Spring,LAW,8635,First Amendment Clinic (YR),041615,"Rottman,Gabriel",1,17519,LAW,3.55,8,0,0,5,3,0,0,0,0,0,0
2022 Spring,LAW,8635,First Amendment Clinic (YR),041615,"Weeks,Lin",1,17519,LAW,3.55,8,0,0,5,3,0,0,0,0,0,0
2022 Spring,LAW,8633,Nonprofit Clinic (YR),040198,"Sipe,Maynard Lloyd",1,17433,LAW,3.45,6,0,0,3,2,1,0,0,0,0,0
2021 Fall,KINE,8630,Readings Sports Med Research,043659,"Resch,Jacob E",1,15316,EDUC,3.95,6,1,4,1,0,0,0,0,0,0,0
2021 Fall,PHYS,8630,Introduction to Field Theory,030958,"Teo,Chi Yan Jeffrey",001,10730,CGAS,3.555555556,9,1,1,3,3,1,0,0,0,0,0
2022 Spring,LAW,8629,Innocence Project Clinic (YR),040057,"Givens,Jennifer L",1,17456,LAW,3.521428571,14,0,1,6,7,0,0,0,0,0,0
2022 Spring,LAW,8629,Innocence Project Clinic (YR),040057,"Hatchett,Juliet Bryan",1,17456,LAW,3.521428571,14,0,1,6,7,0,0,0,0,0,0
2022 Spring,LAW,8625,Supreme Crt Litigatn Clin (YR),040085,"Johnson,Joshua Stephen",1,17417,LAW,3.9625,16,0,14,2,0,0,0,0,0,0,0
